timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595034126315,68,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,5253,713,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,68,0,0
1595034126152,256,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-8,text,true,,3713,627,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,256,0,203
1595034126385,56,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,8389,735,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,56,0,0
1595034126377,65,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-5,text,true,,5253,713,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,65,0,0
1595034126410,53,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-8,text,true,,3452,715,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,53,0,0
1595034126446,52,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-5,text,true,,8389,735,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,52,0,0
1595034126275,219,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-6,text,true,,212904,741,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,67,0,0
1595034126253,264,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-9,text,true,,3713,627,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,264,0,209
1595034126326,223,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-7,text,true,,212904,741,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,71,0,0
1595034126502,69,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-6,text,true,,5253,713,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,69,0,0
1595034126519,55,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-9,text,true,,3452,715,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,55,0,0
1595034126554,65,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-7,text,true,,5253,713,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,65,0,0
1595034126355,275,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-10,text,true,,3713,627,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,275,0,218
1595034126576,54,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-6,text,true,,8389,735,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,54,0,0
